dot_name,ansii_name,hid_level,hierarchy_name_id,parentid,hierarchy_name_set_id,shape_id,shape_set_id,shape_class,valid_from,valid_to,raster_notes,st_stats_sum_population
Africa:Guinea:Boké:Boké,BOKE,5,4117,435,1,4114,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,428048.8711
Africa:Guinea:Boké:Fria,FRIA,5,4118,435,1,4115,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,109645.245
Africa:Guinea:Boké:Gaoual,GAOUAL,5,4119,435,1,4116,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,159287.5263
Africa:Guinea:Boké:Koundara,KOUNDARA,5,4153,435,1,4150,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,102169.1373
Africa:Guinea:Conarky:Conarky,CONARKY,5,4120,436,1,4117,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,1425714.856
Africa:Guinea:Faranah:Dabola,DABOLA,5,4154,437,1,4151,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,148852.6649
Africa:Guinea:Faranah:Dinguiraye,DINGUIRAYE,5,4121,437,1,4118,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,166385.3597
Africa:Guinea:Faranah:Faranah,FARANAH,5,43924,437,1,43922,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,175686.9034
Africa:Guinea:Faranah:Kissidougou,KISSIDOUGOU,5,4155,437,1,4152,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,256906.8446
Africa:Guinea:Kankan:Kankan,KANKAN,5,43925,438,1,43923,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,351315.7782
Africa:Guinea:Kankan:Kérouané,KEROUANE,5,4145,438,1,4142,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,239141.2066
Africa:Guinea:Kankan:Kouroussa,KOUROUSSA,5,4146,438,1,4143,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,184370.4561
Africa:Guinea:Kankan:Mandiana,MANDIANA,5,4147,438,1,4144,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,233281.3952
Africa:Guinea:Kankan:Siguiri,SIGUIRI,5,4148,438,1,4145,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,396654.1441
Africa:Guinea:Kindia:Coyah,COYAH,5,4156,439,1,4153,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,351673.5871
Africa:Guinea:Kindia:Dubréka,DUBREKA,5,4149,439,1,4146,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,154383.5513
Africa:Guinea:Kindia:Forécariah,FORECARIAH,5,4150,439,1,4147,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,357734.9162
Africa:Guinea:Kindia:Kindia,KINDIA,5,4159,439,1,4156,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,440320.0621
Africa:Guinea:Kindia:Télimélé,TELIMELE,5,4160,439,1,4157,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,244225.6227
Africa:Guinea:Labé:Koubia,KOUBIA,5,4157,440,1,4154,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,105412.5742
Africa:Guinea:Labé:Labé,LABE,5,4161,440,1,4158,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,297918.3051
Africa:Guinea:Labé:Lélouma,LELOUMA,5,4158,440,1,4155,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,133615.8984
Africa:Guinea:Labé:Mali,MALI,5,4162,440,1,4159,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,198044.3601
Africa:Guinea:Labé:Tougué,TOUGUE,5,4163,440,1,4160,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,144749.2378
Africa:Guinea:Mamou:Dalaba,DALABA,5,4164,471,1,4161,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,170562.5386
Africa:Guinea:Mamou:Mamou,MAMOU,5,4165,471,1,4162,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,348170.0522
Africa:Guinea:Mamou:Pita,PITA,5,4166,471,1,4163,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,249405.5986
Africa:Guinea:Nzérékoré:Beyla,BEYLA,5,4151,441,1,4148,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,202811.9444
Africa:Guinea:Nzérékoré:Guéckédou,GUECKEDOU,5,4152,441,1,4149,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,655992.2568
Africa:Guinea:Nzérékoré:Lola,LOLA,5,4167,441,1,4164,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,195688.4442
Africa:Guinea:Nzérékoré:Macenta,MACENTA,5,4168,441,1,4165,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,455784.9428
Africa:Guinea:Nzérékoré:Nzérékoré,NZEREKORE,5,4169,441,1,4166,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,353418.6077
Africa:Guinea:Nzérékoré:Yamou,YAMOU,5,4173,441,1,4170,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,270140.6547
Africa:Sierra Leone:Eastern:Kailahun,KAILAHUN,5,29072,1457,1,29070,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,401470.209
Africa:Sierra Leone:Eastern:Kenema,KENEMA,5,29073,1457,1,29071,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,582096.001
Africa:Sierra Leone:Eastern:Kono,KONO,5,29074,1457,1,29072,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,457889.1694
Africa:Sierra Leone:Northern:Bombali,BOMBALI,5,29075,1458,1,29073,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,467597.894
Africa:Sierra Leone:Northern:Kambia,KAMBIA,5,29076,1458,1,29074,1,1,1/1/1990,12/31/9999,afripop_30_2010_adj summary 20140714,305219.8262
